accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.25,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_5,3089.561319795313,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.25,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_9,3170.6839700176915,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.5,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99,1359.009518981289,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.5,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_5,1399.0153107308245,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.5,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_9,1469.110749476502,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,1.0,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99,65.88310514393326,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,1.0,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_5,71.70090637874738,0,65700
0.04024252074593502,os_scan,34069,1.0,1567140,3,34069,0,0.0773605567134127,1249657,1314658,1249657,1314658,0,0.0,1567140,0.9999936189898861,1.0,0.10239861162242156,0.04023664290438745,1.0,0.8292617540367294,6.381010113901031e-06,q99_9,104.75133045886237,10,65700
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.25,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99,3087.22093890424,0,432783
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.25,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99_5,3120.5125015237877,0,432783
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.25,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99_9,3186.2501533137074,0,432783
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.5,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99,1302.2222055297598,0,432783
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.5,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99_5,1325.9827712193567,0,432783
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.5,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99_9,1379.8784269710902,0,432783
0.19920399717686535,fuzzing,42362,1.0,1745045,1,42362,0,0.33155686542345836,1235004,1300005,1235004,1300005,0,0.0,1745045,0.9992498661497805,1.0,0.4558456587054309,0.19872230497541588,1.0,0.8529206377903578,0.0007501338502194571,q99,604.3360826287769,1310,432783
0.19920858614736653,fuzzing,42362,1.0,1745035,1,42362,0,0.3315581354638262,1235004,1300005,1235004,1300005,0,0.0,1745035,0.9992441399371834,1.0,0.4558456587054309,0.19872321745894286,1.0,0.8529206377903578,0.0007558600628165522,q99_5,618.2229663320092,1320,432783
0.19921133952966724,fuzzing,42362,1.0,1745029,1,42362,0,0.3315588974927172,1235004,1300005,1235004,1300005,0,0.0,1745029,0.9992407042096252,1.0,0.4558456587054309,0.19872376495308136,1.0,0.8529206377903578,0.0007592957903748092,q99_9,628.258124316053,1326,432783
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.25,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99,2529.751008454396,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.25,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_5,2582.979294647603,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.25,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_9,2673.3339263872967,0,92652
